site,Gadwall,Mallard,Northern Shoveler,Green-winged Teal (American),Ring-necked Duck,Lesser Scaup,Bufflehead,Hooded Merganser,Ruddy Duck,California Quail,Pied-billed Grebe,Western Grebe,Great Blue Heron (Blue form),Great Egret,Black-crowned Night-Heron,Golden Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Red-tailed Hawk,Ferruginous Hawk,American Coot,Killdeer,Greater Yellowlegs,Least Sandpiper,California Gull,Rock Pigeon (Feral Pigeon),Band-tailed Pigeon,Eurasian Collared-Dove,Mourning Dove,Barn Owl,Great Horned Owl,Anna's Hummingbird,Acorn Woodpecker,Red-breasted Sapsucker,Nuttall's Woodpecker,White-headed Woodpecker,Northern Flicker (Red-shafted),American Kestrel,Merlin,Prairie Falcon,Black Phoebe,Say's Phoebe,Loggerhead Shrike,Steller's Jay,Western Scrub-Jay,American Crow,Common Raven,Horned Lark,Mountain Chickadee,Oak Titmouse,Bushtit,Red-breasted Nuthatch,White-breasted Nuthatch,Rock Wren,Ruby-crowned Kinglet,Western Bluebird,American Robin,Northern Mockingbird,European Starling,Phainopepla,Yellow-rumped Warbler (Audubon's),Lark Sparrow,Fox Sparrow,Dark-eyed Junco (Oregon),White-crowned Sparrow,Harris's Sparrow,Savannah Sparrow,Song Sparrow,California Towhee,Spotted Towhee,Red-winged Blackbird,Western Meadowlark,Brewer's Blackbird,House Finch,Pine Siskin,Lesser Goldfinch,House Sparrow,Greater White-fronted Goose,Cackling Goose,Canada Goose,Muscovy Duck (Domestic type),Wood Duck,Eurasian Wigeon,American Wigeon,Blue-winged Teal,Cinnamon Teal,Northern Pintail,Canvasback,Greater Scaup,Greater/Lesser Scaup,Surf Scoter,Long-tailed Duck,Common Goldeneye,Barrow's Goldeneye,Common Merganser,Red-breasted Merganser,duck sp.,Wild Turkey,Red-throated Loon,Pacific Loon,Common Loon,loon sp.,Horned Grebe,Eared Grebe,Clark's Grebe,Western/Clark's Grebe,Brandt's Cormorant,Double-crested Cormorant,Pelagic Cormorant,cormorant sp.,American White Pelican,Brown Pelican,Snowy Egret,Green Heron,Turkey Vulture,Osprey,White-tailed Kite,Accipiter sp.,Bald Eagle,Red-shouldered Hawk,Ridgway's Rail (San Francisco Bay),Virginia Rail,Sora,Black-necked Stilt,American Avocet,Black Oystercatcher,Black-bellied Plover,Snowy Plover,Semipalmated Plover,Spotted Sandpiper,Willet,Whimbrel (American),Long-billed Curlew,Marbled Godwit,Black Turnstone,Surfbird,Sanderling,Dunlin,Western Sandpiper,peep sp.,Short-billed/Long-billed Dowitcher,Wilson's Snipe,Heermann's Gull,Mew Gull (American),Ring-billed Gull,Western Gull,Herring Gull,Thayer's Gull,Glaucous-winged Gull,Western x Glaucous-winged Gull (hybrid),gull sp.,Forster's Tern,Barn Owl (American),Western Screech-Owl,Burrowing Owl,Northern Saw-whet Owl,White-throated Swift,Belted Kingfisher,Downy Woodpecker,Hairy Woodpecker,Northern Flicker,Peregrine Falcon,Hutton's Vireo,Chestnut-backed Chickadee,White-breasted Nuthatch (Pacific),Pygmy Nuthatch,Brown Creeper,House Wren,Pacific Wren,Marsh Wren,Bewick's Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Wrentit,Hermit Thrush,Varied Thrush,California Thrasher,American Pipit,Cedar Waxwing,Orange-crowned Warbler,Common Yellowthroat,Yellow-rumped Warbler,Yellow-rumped Warbler (Myrtle),Black-throated Gray Warbler,Townsend's Warbler,Hermit Warbler,warbler sp. (Parulidae sp.),Fox Sparrow (Sooty),Dark-eyed Junco,Dark-eyed Junco (Slate-colored),Golden-crowned Sparrow,White-throated Sparrow,Lincoln's Sparrow,Rufous-crowned Sparrow,sparrow sp.,Western Tanager,Brown-headed Cowbird,blackbird sp.,Purple Finch (Western),American Goldfinch,Tundra Swan,Tundra Swan (Bewick's),Green-winged Teal,Redhead,Northern Goshawk,Rough-legged Hawk,Long-billed Dowitcher,Williamson's Sapsucker,Black-backed Woodpecker,Pinyon Jay,Western Scrub-Jay (Woodhouse's),Black-billed Magpie,Clark's Nutcracker,American Dipper,Townsend's Solitaire,Cassin's Finch,Mountain Quail,Black-vented Shearwater,California Condor,Mew Gull,Red-naped Sapsucker,Canyon Wren,Purple Finch,teal sp.,Gambel's Quail,California x Gambel's Quail (hybrid),new world quail sp.,Common Ground-Dove,White-winged Dove,Greater Roadrunner,Long-eared Owl,Costa's Hummingbird,Selasphorus sp.,hummingbird sp.,Ladder-backed Woodpecker,Northern Flicker (Yellow-shafted),Vermilion Flycatcher,Plumbeous Vireo,Verdin,Cactus Wren,Black-tailed Gnatcatcher,Mountain Bluebird,Le Conte's Thrasher,Crissal Thrasher,Chipping Sparrow,Brewer's Sparrow,Black-throated Sparrow,Sagebrush Sparrow,Bell's Sparrow (canescens),Sagebrush/Bell's Sparrow (Sage Sparrow),Vesper Sparrow,Summer Tanager,Lazuli/Indigo Bunting,Great-tailed Grackle,Bullock's Oriole,Scott's Oriole
Tehachapi,6,77,168,12,15,13,74,8,233,97,15,1,1,1,1,1,2,1,5,24,4,78,6,1,9,3,94,3,48,37,1,4,4,21,1,3,1,10,16,1,1,5,4,5,4,23,12,431,2,5,10,2,1,25,1,9,71,5,4,1188,3,13,15,1,195,436,1,5,5,8,9,1,10,345,225,3,10,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakland,107,1271,484,421,81,1036,2961,19,1182,63,258,286,91,58,88,3,14,19,25,181,1,4362,77,90,401,1159,1978,446,27,288,0,61,682,140,13,85,0,82,37,6,0,286,41,0,316,331,2486,453,68,0,229,1153,119,0,0,752,149,1805,29,887,0,308,0,0,1058,1537,0,13,168,526,239,789,203,144,670,0,399,78,1,52,1780,6,38,4,768,7,34,107,105,4099,2277,1757,2,526,4,86,26,19,243,16,1,39,1,263,56,137,207,76,6008,42,4487,55,868,176,3,175,5,31,4,5,47,37,3,6,158,530,29,1319,18,439,40,980,34,96,749,43,35,337,3797,5204,1110,132,34,3,172,778,2199,111,3,76,43,2545,178,4,6,12,6,10,20,28,41,137,8,86,715,33,165,78,1,10,23,168,1,46,94,190,49,22,54,870,1,5,887,43,2,144,1,1,113,421,1,845,22,2,8,81,1,3,60,12,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammoth Lakes,249,423,331,0,116,85,93,0,546,4,1,3,17,2,6,0,6,0,2,20,0,187,0,32,0,28,0,0,21,0,0,0,0,0,0,0,3,2,2,0,2,3,0,1,5,0,0,280,25,85,0,26,6,17,0,1,0,2,0,73,0,0,0,0,0,2,0,0,3,0,4,0,0,23,0,0,0,66,0,2,117,0,0,0,126,0,0,17,16,0,0,0,0,14,0,26,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,180,0,0,0,0,0,0,2,0,6,6,0,0,0,0,42,10,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,105,2,113,1,1,1,2,1,1,42,6,48,50,2,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Sur,0,4,1,0,23,0,0,16,0,35,4,29,2,92,0,1,4,2,2,40,0,16,1,0,0,921,0,477,0,0,0,0,8,122,2,9,0,22,10,1,0,34,5,0,88,50,64,11,0,0,15,119,0,2,1,171,11,95,0,21,0,16,0,16,158,28,0,0,5,11,22,0,12,22,4,24,4,0,0,0,7,0,0,0,0,0,1,0,0,0,0,34,0,6,1,2,0,0,6,10,69,0,0,0,0,0,0,529,0,14,0,0,292,0,0,67,0,1,0,0,9,0,0,0,0,0,3,0,7,0,0,0,0,0,0,26,0,0,0,0,0,0,0,123,0,0,106,4,2,1,1,0,0,0,0,0,1,32,3,6,7,0,5,23,111,0,0,43,5,5,1,31,3,5,84,61,0,3,18,50,1,2,14,68,0,33,0,0,0,0,0,44,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,2,1,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anza-Borrego,8,66,0,0,82,0,3,6,7,266,2,0,1,1,0,1,0,3,19,30,0,39,17,0,0,0,12,24,319,199,1,10,126,20,3,1,0,0,22,2,3,64,70,23,14,97,0,374,30,1,7,4,0,3,15,79,345,188,124,238,151,0,5,4,0,1227,0,41,5,28,5,31,9,71,879,0,192,54,1,0,0,0,1,0,452,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,86,0,0,0,0,0,0,14,0,5,27,15,0,2,2,0,11,24,120,5,7,736,5,0,0,0,0,0,52,1,1,0,7,3,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,5,5,74,64,797,22,3,110,1,2,8,1,1,1,212,31,50,31,3,1,3,1,35,4,11,53,17,1,1,22,1,3
